StockSymbol,Price,RecordedDateTime
AAPL,85.77,17-11-2023 14:40
GOOGL,206.27,17-11-2023 14:40
MSFT,63.6,17-11-2023 14:40
TCS,52,17-11-2023 14:40
AAPL,84.54,17-11-2023 14:40
GOOGL,203.8,17-11-2023 14:40
MSFT,64.82,17-11-2023 14:40
TCS,51.47,17-11-2023 14:40
AAPL,83.39,17-11-2023 14:40
GOOGL,204.05,17-11-2023 14:40
MSFT,66.46,17-11-2023 14:40
TCS,52.78,17-11-2023 14:40
AAPL,83.93,17-11-2023 14:40
GOOGL,206.25,17-11-2023 14:40
MSFT,65.34,17-11-2023 14:40
TCS,51.96,17-11-2023 14:40
AAPL,82.57,17-11-2023 14:40
GOOGL,203.76,17-11-2023 14:40
MSFT,66.78,17-11-2023 14:40
TCS,51.47,17-11-2023 14:40
AAPL,83.36,17-11-2023 14:40
GOOGL,200.93,17-11-2023 14:40
MSFT,65.4,17-11-2023 14:40
TCS,52.07,17-11-2023 14:40
AAPL,82.11,17-11-2023 14:40
GOOGL,201.27,17-11-2023 14:40
MSFT,65.62,17-11-2023 14:40
TCS,52.86,17-11-2023 14:40
AAPL,81.04,17-11-2023 14:40
GOOGL,202.2,17-11-2023 14:40
MSFT,67.35,17-11-2023 14:40
TCS,53.75,17-11-2023 14:40
AAPL,82.56,17-11-2023 14:40
GOOGL,199.73,17-11-2023 14:40
MSFT,65.88,17-11-2023 14:40
TCS,54.38,17-11-2023 14:40
AAPL,84.04,17-11-2023 14:40
GOOGL,197.61,17-11-2023 14:40
MSFT,66.87,17-11-2023 14:40
TCS,55.57,17-11-2023 14:40
AAPL,85.61,17-11-2023 14:40
GOOGL,195.76,17-11-2023 14:40
MSFT,68.02,17-11-2023 14:40
TCS,55.29,17-11-2023 14:40
AAPL,84.83,17-11-2023 14:40
GOOGL,196.81,17-11-2023 14:40
MSFT,67.06,17-11-2023 14:40
TCS,55.12,17-11-2023 14:40
AAPL,85.53,17-11-2023 14:40
GOOGL,200.38,17-11-2023 14:40
MSFT,68.95,17-11-2023 14:40
TCS,56.13,17-11-2023 14:40
AAPL,84.74,17-11-2023 14:40
GOOGL,199.46,17-11-2023 14:40
MSFT,70.91,17-11-2023 14:40
TCS,57.68,17-11-2023 14:40
AAPL,85.4,17-11-2023 14:40
GOOGL,203.12,17-11-2023 14:40
MSFT,72.78,17-11-2023 14:40
TCS,59.07,17-11-2023 14:40
AAPL,84.48,17-11-2023 14:40
GOOGL,204.87,17-11-2023 14:40
MSFT,74.09,17-11-2023 14:40
TCS,60.59,17-11-2023 14:40
AAPL,83.51,17-11-2023 14:40
GOOGL,200.9,17-11-2023 14:40
MSFT,75.46,17-11-2023 14:40
TCS,61.34,17-11-2023 14:40
AAPL,82.22,17-11-2023 14:40
GOOGL,197.73,17-11-2023 14:40
MSFT,74.23,17-11-2023 14:40
TCS,61.81,17-11-2023 14:40
AAPL,82.13,17-11-2023 14:40
GOOGL,195.49,17-11-2023 14:40
MSFT,74.91,17-11-2023 14:40
TCS,61.15,17-11-2023 14:40
AAPL,81.77,17-11-2023 14:40
GOOGL,192.94,17-11-2023 14:40
MSFT,73.54,17-11-2023 14:40
TCS,62.89,17-11-2023 14:40
AAPL,81.3,17-11-2023 14:40
GOOGL,195.41,17-11-2023 14:40
MSFT,72.94,17-11-2023 14:40
TCS,61.18,17-11-2023 14:40
AAPL,79.73,17-11-2023 14:40
GOOGL,191.97,17-11-2023 14:40
MSFT,72.3,17-11-2023 14:40
TCS,60.12,17-11-2023 14:40
AAPL,79.59,17-11-2023 14:40
GOOGL,195.1,17-11-2023 14:40
MSFT,71.32,17-11-2023 14:40
TCS,58.34,17-11-2023 14:40
AAPL,80.68,17-11-2023 14:40
GOOGL,197.4,17-11-2023 14:40
MSFT,73.04,17-11-2023 14:40
TCS,57.25,17-11-2023 14:40
AAPL,81.22,17-11-2023 14:40
GOOGL,196.39,17-11-2023 14:40
MSFT,71.18,17-11-2023 14:40
TCS,55.76,17-11-2023 14:40
AAPL,82.59,17-11-2023 14:40
GOOGL,197.53,17-11-2023 14:40
MSFT,72.72,17-11-2023 14:40
TCS,54.77,17-11-2023 14:40
AAPL,81.33,17-11-2023 14:40
GOOGL,199.08,17-11-2023 14:40
MSFT,73.72,17-11-2023 14:40
TCS,54.99,17-11-2023 14:40
AAPL,80.29,17-11-2023 14:40
GOOGL,197.73,17-11-2023 14:40
MSFT,72.83,17-11-2023 14:40
TCS,55.84,17-11-2023 14:40
AAPL,79.4,17-11-2023 14:40
GOOGL,199.75,17-11-2023 14:40
MSFT,73.96,17-11-2023 14:40
TCS,55.66,17-11-2023 14:40
AAPL,78.45,17-11-2023 14:40
GOOGL,198.52,17-11-2023 14:40
MSFT,72.25,17-11-2023 14:40
TCS,56.44,17-11-2023 14:40
AAPL,78.21,17-11-2023 14:40
GOOGL,200.2,17-11-2023 14:40
MSFT,70.9,17-11-2023 14:40
TCS,57.57,17-11-2023 14:40
AAPL,77.26,17-11-2023 14:40
GOOGL,199.75,17-11-2023 14:40
MSFT,69.47,17-11-2023 14:40
TCS,58.79,17-11-2023 14:40
AAPL,78.15,17-11-2023 14:40
GOOGL,199.29,17-11-2023 14:40
MSFT,70.89,17-11-2023 14:40
TCS,59.78,17-11-2023 14:40
AAPL,77.2,17-11-2023 14:40
GOOGL,203.06,17-11-2023 14:40
MSFT,70.14,17-11-2023 14:40
TCS,61.41,17-11-2023 14:40
AAPL,78.6,17-11-2023 14:40
GOOGL,202.46,17-11-2023 14:40
MSFT,70.66,17-11-2023 14:40
TCS,59.78,17-11-2023 14:40
AAPL,78.3,17-11-2023 14:40
GOOGL,198.78,17-11-2023 14:40
MSFT,72.69,17-11-2023 14:40
TCS,58.5,17-11-2023 14:40
AAPL,77.91,17-11-2023 14:40
GOOGL,200.05,17-11-2023 14:40
MSFT,73.31,17-11-2023 14:40
TCS,59.72,17-11-2023 14:40
AAPL,76.63,17-11-2023 14:40
GOOGL,198.94,17-11-2023 14:40
MSFT,72.24,17-11-2023 14:40
TCS,58.72,17-11-2023 14:40
AAPL,76.39,17-11-2023 14:40
GOOGL,199.87,17-11-2023 14:40
MSFT,73.39,17-11-2023 14:40
TCS,59.23,17-11-2023 14:40
AAPL,75.38,17-11-2023 14:40
GOOGL,203.34,17-11-2023 14:40
MSFT,74.2,17-11-2023 14:40
TCS,60.66,17-11-2023 14:40
AAPL,76.26,17-11-2023 14:40
GOOGL,206.95,17-11-2023 14:40
MSFT,73.93,17-11-2023 14:40
TCS,58.84,17-11-2023 14:40
AAPL,77.48,17-11-2023 14:41
GOOGL,208.53,17-11-2023 14:41
MSFT,74.89,17-11-2023 14:41
TCS,59.16,17-11-2023 14:41
AAPL,77.91,17-11-2023 14:41
GOOGL,207.19,17-11-2023 14:41
MSFT,73.19,17-11-2023 14:41
TCS,57.95,17-11-2023 14:41
AAPL,78.28,17-11-2023 14:41
GOOGL,210.3,17-11-2023 14:41
MSFT,71.63,17-11-2023 14:41
TCS,56.94,17-11-2023 14:41
AAPL,78.72,17-11-2023 14:41
GOOGL,206.37,17-11-2023 14:41
MSFT,71.08,17-11-2023 14:41
TCS,55.74,17-11-2023 14:41
AAPL,79.7,17-11-2023 14:41
GOOGL,204.97,17-11-2023 14:41
MSFT,72.42,17-11-2023 14:41
TCS,55.02,17-11-2023 14:41
AAPL,80.58,17-11-2023 14:41
GOOGL,205.32,17-11-2023 14:41
MSFT,70.58,17-11-2023 14:41
TCS,55.22,17-11-2023 14:41
AAPL,80.67,17-11-2023 14:41
GOOGL,207.23,17-11-2023 14:41
MSFT,71.19,17-11-2023 14:41
TCS,56.73,17-11-2023 14:41
AAPL,80.22,17-11-2023 14:41
GOOGL,204.24,17-11-2023 14:41
MSFT,69.71,17-11-2023 14:41
TCS,56.99,17-11-2023 14:41
AAPL,81.05,17-11-2023 14:41
GOOGL,201.76,17-11-2023 14:41
MSFT,70.14,17-11-2023 14:41
TCS,56.57,17-11-2023 14:41
AAPL,82.06,17-11-2023 14:41
GOOGL,201.49,17-11-2023 14:41
MSFT,72.09,17-11-2023 14:41
TCS,57.59,17-11-2023 14:41
AAPL,81.57,17-11-2023 14:41
GOOGL,198.1,17-11-2023 14:41
MSFT,71,17-11-2023 14:41
TCS,59.23,17-11-2023 14:41
AAPL,82.51,17-11-2023 14:41
GOOGL,196.89,17-11-2023 14:41
MSFT,72.63,17-11-2023 14:41
TCS,58.86,17-11-2023 14:41
AAPL,83.52,17-11-2023 14:41
GOOGL,193.11,17-11-2023 14:41
MSFT,71.6,17-11-2023 14:41
TCS,58.11,17-11-2023 14:41
AAPL,82.19,17-11-2023 14:41
GOOGL,193.34,17-11-2023 14:41
MSFT,73.5,17-11-2023 14:41
TCS,59.05,17-11-2023 14:41
AAPL,80.75,17-11-2023 14:41
GOOGL,196.52,17-11-2023 14:41
MSFT,73.14,17-11-2023 14:41
TCS,60.17,17-11-2023 14:41
AAPL,79.65,17-11-2023 14:41
GOOGL,197.54,17-11-2023 14:41
MSFT,72.01,17-11-2023 14:41
TCS,61.72,17-11-2023 14:41
AAPL,80.46,17-11-2023 14:41
GOOGL,194.19,17-11-2023 14:41
MSFT,69.95,17-11-2023 14:41
TCS,60.91,17-11-2023 14:41
AAPL,79.12,17-11-2023 14:41
GOOGL,193.34,17-11-2023 14:41
MSFT,69.64,17-11-2023 14:41
TCS,59.51,17-11-2023 14:41
AAPL,78.13,17-11-2023 14:41
GOOGL,193.1,17-11-2023 14:41
MSFT,67.69,17-11-2023 14:41
TCS,60.5,17-11-2023 14:41
AAPL,78.46,17-11-2023 14:41
GOOGL,191.53,17-11-2023 14:41
MSFT,69.58,17-11-2023 14:41
TCS,59.99,17-11-2023 14:41
AAPL,78.6,17-11-2023 14:41
GOOGL,189.56,17-11-2023 14:41
MSFT,68.9,17-11-2023 14:41
TCS,59.33,17-11-2023 14:41
AAPL,77.64,17-11-2023 14:41
GOOGL,190.43,17-11-2023 14:41
MSFT,69.3,17-11-2023 14:41
TCS,59.89,17-11-2023 14:41
AAPL,78.42,17-11-2023 14:41
GOOGL,194.08,17-11-2023 14:41
MSFT,68.98,17-11-2023 14:41
TCS,59.64,17-11-2023 14:41
AAPL,77.36,17-11-2023 14:41
GOOGL,193.24,17-11-2023 14:41
MSFT,70.32,17-11-2023 14:41
TCS,61.08,17-11-2023 14:41
AAPL,77.82,17-11-2023 14:41
GOOGL,196.67,17-11-2023 14:41
MSFT,69.9,17-11-2023 14:41
TCS,59.87,17-11-2023 14:41
AAPL,77.59,17-11-2023 14:41
GOOGL,196.42,17-11-2023 14:41
MSFT,71.19,17-11-2023 14:41
TCS,60.12,17-11-2023 14:41
AAPL,78.95,17-11-2023 14:41
GOOGL,196.75,17-11-2023 14:41
MSFT,71.44,17-11-2023 14:41
TCS,58.51,17-11-2023 14:41
AAPL,79.22,17-11-2023 14:41
GOOGL,194.11,17-11-2023 14:41
MSFT,71.94,17-11-2023 14:41
TCS,58.84,17-11-2023 14:41
AAPL,78.4,17-11-2023 14:41
GOOGL,196.98,17-11-2023 14:41
MSFT,73.8,17-11-2023 14:41
TCS,59.39,17-11-2023 14:41
AAPL,79.47,17-11-2023 14:41
GOOGL,193.5,17-11-2023 14:41
MSFT,74.73,17-11-2023 14:41
TCS,60.9,17-11-2023 14:41
AAPL,80.73,17-11-2023 14:41
GOOGL,190.18,17-11-2023 14:41
MSFT,73.25,17-11-2023 14:41
TCS,60.06,17-11-2023 14:41
AAPL,81.12,17-11-2023 14:41
GOOGL,193.43,17-11-2023 14:41
MSFT,74.78,17-11-2023 14:41
TCS,60.55,17-11-2023 14:41
AAPL,82.67,17-11-2023 14:41
GOOGL,190.05,17-11-2023 14:41
MSFT,73.49,17-11-2023 14:41
TCS,59.06,17-11-2023 14:41
AAPL,82.01,17-11-2023 14:41
GOOGL,193.23,17-11-2023 14:41
MSFT,71.35,17-11-2023 14:41
TCS,59.47,17-11-2023 14:41
AAPL,82.48,17-11-2023 14:41
GOOGL,191.7,17-11-2023 14:41
MSFT,69.24,17-11-2023 14:41
TCS,60.72,17-11-2023 14:41
AAPL,82.11,17-11-2023 14:41
GOOGL,190.93,17-11-2023 14:41
MSFT,70.72,17-11-2023 14:41
TCS,59.42,17-11-2023 14:41
AAPL,81.08,17-11-2023 14:41
GOOGL,187.81,17-11-2023 14:41
MSFT,71.54,17-11-2023 14:41
TCS,61.09,17-11-2023 14:41
AAPL,81.88,17-11-2023 14:41
GOOGL,188.33,17-11-2023 14:41
MSFT,72.54,17-11-2023 14:41
TCS,59.47,17-11-2023 14:41
AAPL,80.98,17-11-2023 14:41
GOOGL,190.44,17-11-2023 14:41
MSFT,70.74,17-11-2023 14:41
TCS,58.04,17-11-2023 14:41
AAPL,80.54,17-11-2023 14:41
GOOGL,193.11,17-11-2023 14:41
MSFT,69.47,17-11-2023 14:41
TCS,57.15,17-11-2023 14:41
AAPL,82.08,17-11-2023 14:41
GOOGL,192.58,17-11-2023 14:41
MSFT,70.93,17-11-2023 14:41
TCS,56.75,17-11-2023 14:41
AAPL,81.03,17-11-2023 14:41
GOOGL,193.3,17-11-2023 14:41
MSFT,72.98,17-11-2023 14:41
TCS,55.71,17-11-2023 14:41
AAPL,80.94,17-11-2023 14:41
GOOGL,195.68,17-11-2023 14:41
MSFT,72.38,17-11-2023 14:41
TCS,54.86,17-11-2023 14:41
AAPL,82.14,17-11-2023 14:41
GOOGL,194.26,17-11-2023 14:41
MSFT,72.96,17-11-2023 14:41
TCS,53.5,17-11-2023 14:41
AAPL,82.78,17-11-2023 14:41
GOOGL,196.86,17-11-2023 14:41
MSFT,71.02,17-11-2023 14:41
TCS,54.9,17-11-2023 14:41
AAPL,81.79,17-11-2023 14:41
GOOGL,193.49,17-11-2023 14:41
MSFT,69.42,17-11-2023 14:41
TCS,53.77,17-11-2023 14:41
AAPL,80.82,17-11-2023 14:41
GOOGL,195.99,17-11-2023 14:41
MSFT,68.47,17-11-2023 14:41
TCS,53.09,17-11-2023 14:41
AAPL,81.66,17-11-2023 14:41
GOOGL,194.73,17-11-2023 14:41
MSFT,66.78,17-11-2023 14:41
TCS,52.47,17-11-2023 14:41
AAPL,82.25,17-11-2023 14:41
GOOGL,196.37,17-11-2023 14:41
MSFT,66.39,17-11-2023 14:41
TCS,53.78,17-11-2023 14:41
AAPL,81.68,17-11-2023 14:41
GOOGL,196.8,17-11-2023 14:41
MSFT,68.29,17-11-2023 14:41
TCS,55.31,17-11-2023 14:41
AAPL,82.9,17-11-2023 14:41
GOOGL,193.89,17-11-2023 14:41
MSFT,66.47,17-11-2023 14:41
TCS,54.98,17-11-2023 14:41
AAPL,81.31,17-11-2023 14:41
GOOGL,193.54,17-11-2023 14:41
MSFT,65.26,17-11-2023 14:41
TCS,56.21,17-11-2023 14:41
AAPL,82.73,17-11-2023 14:41
GOOGL,196.35,17-11-2023 14:41
MSFT,66.93,17-11-2023 14:41
TCS,56.39,17-11-2023 14:41
AAPL,83.26,17-11-2023 14:41
GOOGL,198.2,17-11-2023 14:41
MSFT,65.58,17-11-2023 14:41
TCS,57.11,17-11-2023 14:41
AAPL,84,17-11-2023 14:41
GOOGL,199.15,17-11-2023 14:41
MSFT,63.62,17-11-2023 14:41
TCS,55.43,17-11-2023 14:41
AAPL,82.84,17-11-2023 14:41
GOOGL,195.8,17-11-2023 14:41
MSFT,63.15,17-11-2023 14:41
TCS,55.11,17-11-2023 14:41
AAPL,81.44,17-11-2023 14:41
GOOGL,198.29,17-11-2023 14:41
MSFT,61.59,17-11-2023 14:41
TCS,55.86,17-11-2023 14:41
AAPL,81.04,17-11-2023 14:41
GOOGL,195.33,17-11-2023 14:41
MSFT,59.98,17-11-2023 14:41
TCS,55.21,17-11-2023 14:41
AAPL,79.8,17-11-2023 14:41
GOOGL,196.51,17-11-2023 14:41
MSFT,59.24,17-11-2023 14:41
TCS,55.48,17-11-2023 14:41
AAPL,81.28,17-11-2023 14:41
GOOGL,199.45,17-11-2023 14:41
MSFT,58.58,17-11-2023 14:41
TCS,56.32,17-11-2023 14:41
AAPL,80.21,17-11-2023 14:42
GOOGL,200.63,17-11-2023 14:42
MSFT,57.1,17-11-2023 14:42
TCS,57.03,17-11-2023 14:42
AAPL,80.44,17-11-2023 14:42
GOOGL,203.95,17-11-2023 14:42
MSFT,57.78,17-11-2023 14:42
TCS,58.5,17-11-2023 14:42
AAPL,81.41,17-11-2023 14:42
GOOGL,206.05,17-11-2023 14:42
MSFT,56.33,17-11-2023 14:42
TCS,59.68,17-11-2023 14:42
AAPL,81.08,17-11-2023 14:42
GOOGL,202.38,17-11-2023 14:42
MSFT,55.55,17-11-2023 14:42
TCS,60.12,17-11-2023 14:42
AAPL,82.04,17-11-2023 14:42
GOOGL,206.38,17-11-2023 14:42
MSFT,54.99,17-11-2023 14:42
TCS,59.11,17-11-2023 14:42
AAPL,82.39,17-11-2023 14:42
GOOGL,203.9,17-11-2023 14:42
MSFT,54.06,17-11-2023 14:42
